ID,UserID,Combination,Time,Position
1,0,"[""c1"", ""c2"", ""c1"", ""c2"", ""c1"", ""c2"", ""c1"", ""c2"", ""c1"", ""c2"", ""c1"", ""c2""]","[[1584132477265, 1584132477380, 1584132477724, 1584132477888, 1584132478046, 1584132478394, 1584132478530, 1584132478658, 1584132478759, 1584132478870, 1584132478974, 1584132479296], [1584132480135, 1584132480264, 1584132480406, 1584132480546, 1584132480646, 1584132480763, 1584132480889, 1584132481012, 1584132481118, 1584132481228, 1584132481338, 1584132481529], [1584132485028, 1584132485150, 1584132485272, 1584132485419, 1584132485528, 1584132485652, 1584132485758, 1584132485882, 1584132486004, 1584132486124, 1584132486224, 1584132486399], [1584132487198, 1584132487290, 1584132487437, 1584132487570, 1584132487672, 1584132487798, 1584132487893, 1584132488037, 1584132488104, 1584132488447, 1584132488697, 1584132488849], [1584132489769, 1584132489896, 1584132490036, 1584132490187, 1584132490269, 1584132490879, 1584132491051, 1584132491222, 1584132491355, 1584132491505, 1584132491799, 1584132491937]]","[[[341, 902], [501, 860], [417, 870], [504, 856], [417, 875], [505, 864], [412, 870], [504, 856], [416, 866], [503, 856], [419, 867], [501, 846]], [[371, 907], [501, 849], [413, 858], [501, 847], [417, 858], [503, 854], [416, 866], [502, 854], [415, 865], [507, 851], [414, 860], [501, 847]], [[351, 907], [503, 873], [414, 877], [503, 868], [417, 874], [502, 857], [417, 871], [500, 864], [413, 878], [502, 871], [412, 881], [501, 873]], [[374, 908], [503, 853], [417, 868], [504, 867], [415, 876], [503, 861], [419, 869], [500, 855], [415, 865], [503, 861], [415, 872], [500, 863]], [[356, 908], [505, 852], [413, 866], [500, 859], [417, 868], [503, 859], [415, 867], [500, 858], [411, 874], [500, 863], [412, 874], [501, 869]]]"
2,1,"[""c3"", ""c2"", ""c1"", ""b1"", ""b2"", ""b3"", ""a3"", ""a2"", ""a1"", ""a2"", ""a3"", ""b3""]","[[1584132581213, 1584132581546, 1584132581863, 1584132582396, 1584132582712, 1584132583012, 1584132583295, 1584132583528, 1584132583878, 1584132587158, 1584132587907, 1584132588674], [1584132599614, 1584132599864, 1584132600130, 1584132600913, 1584132601179, 1584132601512, 1584132601745, 1584132602028, 1584132602328, 1584132603294, 1584132603627, 1584132604127], [1584132609772, 1584132610022, 1584132610221, 1584132610521, 1584132610688, 1584132610821, 1584132611104, 1584132611321, 1584132611537, 1584132611953, 1584132612170, 1584132612469], [1584132614201, 1584132614368, 1584132614584, 1584132614868, 1584132615034, 1584132615217, 1584132615467, 1584132615683, 1584132615967, 1584132616616, 1584132616816, 1584132617165], [1584132618714, 1584132618914, 1584132619114, 1584132619347, 1584132619530, 1584132619763, 1584132619996, 1584132620213, 1584132620429, 1584132620746, 1584132620945, 1584132621278]]","[[[936, 906], [797, 854], [620, 862], [603, 720], [714, 698], [915, 688], [925, 538], [791, 518], [619, 503], [719, 495], [893, 490], [936, 628]], [[925, 902], [788, 838], [618, 842], [622, 698], [729, 683], [893, 672], [909, 524], [790, 510], [616, 494], [714, 489], [901, 493], [953, 634]], [[912, 902], [808, 845], [624, 865], [590, 725], [729, 706], [909, 707], [931, 538], [796, 514], [620, 510], [718, 495], [894, 492], [941, 634]], [[971, 888], [808, 865], [624, 864], [609, 713], [720, 672], [904, 684], [917, 530], [803, 494], [621, 486], [711, 491], [892, 486], [936, 630]], [[967, 899], [798, 850], [612, 858], [611, 717], [710, 691], [900, 683], [928, 544], [791, 510], [625, 494], [724, 488], [896, 490], [940, 628]]]"
3,2,"[""a1"", ""b1"", ""c1"", ""c2"", ""b2"", ""a2"", ""a3"", ""b3"", ""c3"", ""c2"", ""c1"", ""b1""]","[[1584132866511, 1584132867014, 1584132867228, 1584132868245, 1584132868571, 1584132868669, 1584132869612, 1584132869705, 1584132870196, 1584132876365, 1584132877106, 1584132877900], [1584132898124, 1584132898628, 1584132898825, 1584132899675, 1584132900145, 1584132900425, 1584132900875, 1584132901125, 1584132901321, 1584132901826, 1584132902126, 1584132902409], [1584132908895, 1584132909212, 1584132909747, 1584132910029, 1584132910330, 1584132910780, 1584132911196, 1584132911730, 1584132912030, 1584132912664, 1584132913014, 1584132913640], [1584132917475, 1584132917749, 1584132918283, 1584132918606, 1584132919109, 1584132919417, 1584132919660, 1584132920067, 1584132920454, 1584132921451, 1584132921632, 1584132922307], [1584132925671, 1584132925936, 1584132926186, 1584132926689, 1584132927303, 1584132927537, 1584132927937, 1584132928555, 1584132928850, 1584132929454, 1584132929638, 1584132930421]]","[[[739, 462], [746, 644], [763, 808], [969, 901], [962, 712], [939, 542], [1156, 460], [1150, 646], [1144, 811], [998, 879], [816, 872], [729, 700]], [[757, 449], [744, 643], [736, 821], [961, 892], [966, 724], [956, 545], [1095, 465], [1097, 643], [1109, 824], [990, 893], [805, 891], [727, 686]], [[739, 460], [744, 637], [750, 819], [908, 885], [942, 715], [935, 543], [1130, 447], [1141, 635], [1146, 811], [994, 868], [814, 873], [770, 726]], [[754, 447], [762, 628], [739, 818], [911, 841], [954, 716], [940, 544], [1116, 456], [1156, 637], [1156, 815], [1001, 866], [815, 879], [782, 720]], [[725, 477], [735, 644], [746, 818], [906, 876], [915, 696], [907, 519], [1083, 498], [1132, 633], [1134, 814], [986, 881], [812, 880], [719, 670]]]"
4,2,"[""a1"", ""b1"", ""c1"", ""c2"", ""b2"", ""a2"", ""a3"", ""b3"", ""c3"", ""c2"", ""b1"", ""c1""]","[[1584132985825, 1584132986774, 1584132987564, 1584132990624, 1584132991265, 1584132991867, 1584132992474, 1584132993094, 1584132993744, 1584132994414, 1584132995664, 1584132997314], [1584132999844, 1584133000584, 1584133002344, 1584133003064, 1584133003764, 1584133004504, 1584133005144, 1584133005854, 1584133006534, 1584133007664, 1584133009124, 1584133009854], [1584133012204, 1584133012814, 1584133013485, 1584133014311, 1584133014904, 1584133016534, 1584133017174, 1584133017794, 1584133018474, 1584133019144, 1584133019894, 1584133020623], [1584133022874, 1584133024130, 1584133024793, 1584133025793, 1584133026374, 1584133026993, 1584133028468, 1584133030264, 1584133030863, 1584133031643, 1584133032463, 1584133033144], [1584133036613, 1584133037283, 1584133038528, 1584133039213, 1584133039834, 1584133040443, 1584133041664, 1584133042433, 1584133043203, 1584133044253, 1584133045364, 1584133046813]]","[[[775, 467], [781, 613], [782, 786], [978, 828], [972, 628], [971, 478], [1158, 478], [1177, 635], [1164, 817], [957, 818], [768, 637], [771, 809]], [[753, 462], [755, 632], [779, 813], [955, 823], [948, 668], [953, 482], [1126, 478], [1131, 626], [1148, 813], [938, 804], [771, 646], [763, 846]], [[756, 436], [765, 600], [763, 810], [972, 817], [968, 625], [980, 494], [1142, 487], [1131, 660], [1123, 820], [965, 803], [806, 668], [788, 811]], [[746, 460], [761, 644], [753, 858], [931, 849], [966, 654], [953, 497], [1161, 483], [1140, 678], [1139, 835], [984, 848], [773, 651], [774, 843]], [[761, 470], [768, 606], [760, 815], [917, 814], [930, 675], [949, 447], [1161, 457], [1159, 631], [1127, 814], [968, 802], [742, 625], [760, 840]]]"
5,2,"[""a1"", ""a2"", ""b2"", ""b1"", ""a1"", ""a2"", ""b2"", ""b1"", ""a1"", ""a2"", ""b2"", ""b1""]","[[1584133072239, 1584133073258, 1584133073715, 1584133074182, 1584133074699, 1584133075057, 1584133075632, 1584133076116, 1584133076666, 1584133077146, 1584133077667, 1584133078131], [1584133085820, 1584133086304, 1584133086671, 1584133087057, 1584133087508, 1584133087871, 1584133088190, 1584133088638, 1584133089121, 1584133089533, 1584133089939, 1584133090372], [1584133093227, 1584133093487, 1584133093857, 1584133094157, 1584133094574, 1584133094924, 1584133095291, 1584133095646, 1584133096141, 1584133096558, 1584133096941, 1584133097275], [1584133099669, 1584133100160, 1584133100476, 1584133100876, 1584133101277, 1584133101662, 1584133101843, 1584133102344, 1584133102844, 1584133103227, 1584133103461, 1584133103767], [1584133106401, 1584133106879, 1584133107262, 1584133107446, 1584133107785, 1584133108046, 1584133108363, 1584133108857, 1584133109162, 1584133109480, 1584133109748, 1584133110047]]","[[[873, 457], [993, 481], [1052, 628], [908, 690], [854, 544], [1000, 491], [1043, 625], [892, 654], [865, 543], [1004, 488], [1041, 635], [902, 679]], [[826, 490], [1027, 486], [1057, 635], [901, 668], [872, 544], [1004, 508], [1050, 629], [904, 697], [879, 540], [996, 505], [1070, 641], [905, 675]], [[827, 469], [1003, 483], [1049, 636], [883, 718], [841, 538], [1003, 473], [1035, 631], [906, 681], [841, 539], [998, 487], [1022, 631], [905, 686]], [[821, 470], [1001, 477], [1027, 635], [883, 723], [839, 541], [998, 511], [1061, 629], [897, 711], [853, 542], [1000, 477], [1019, 636], [891, 693]], [[818, 477], [995, 492], [1006, 641], [905, 668], [877, 535], [996, 479], [1048, 632], [899, 706], [857, 533], [1000, 472], [1060, 632], [900, 706]]]"
6,2,"[""b2"", ""a2"", ""b2"", ""a2"", ""b2"", ""a2"", ""b2"", ""a2"", ""b2"", ""a2"", ""b2"", ""a2""]","[[1584133147043, 1584133148913, 1584133149853, 1584133150553, 1584133152793, 1584133153492, 1584133154373, 1584133155033, 1584133155673, 1584133156290, 1584133156982, 1584133157613], [1584133160903, 1584133161522, 1584133162171, 1584133162759, 1584133163393, 1584133165128, 1584133166642, 1584133167333, 1584133168122, 1584133168883, 1584133169623, 1584133170423], [1584133172612, 1584133173233, 1584133177533, 1584133178203, 1584133178873, 1584133179503, 1584133180143, 1584133180803, 1584133181523, 1584133182173, 1584133182903, 1584133183593], [1584133185853, 1584133186573, 1584133187242, 1584133187813, 1584133188442, 1584133189023, 1584133189642, 1584133190212, 1584133190792, 1584133192073, 1584133193732, 1584133194322], [1584133196073, 1584133197907, 1584133199972, 1584133200553, 1584133201283, 1584133201862, 1584133202493, 1584133203102, 1584133203753, 1584133204363, 1584133205013, 1584133205633]]","[[[1056, 638], [1055, 456], [1035, 638], [1035, 490], [1041, 625], [1064, 427], [1058, 607], [1055, 440], [1061, 603], [1055, 418], [1052, 642], [1049, 500]], [[1073, 654], [1067, 424], [1067, 655], [1049, 476], [1048, 608], [1058, 458], [1048, 651], [1017, 429], [1048, 664], [1053, 479], [1048, 630], [1050, 477]], [[1038, 641], [1048, 453], [1024, 624], [1036, 462], [1044, 624], [1063, 451], [1059, 660], [1066, 493], [1050, 627], [1049, 507], [1045, 643], [1049, 506]], [[998, 661], [1064, 479], [1064, 627], [1063, 430], [1047, 641], [1055, 467], [1049, 617], [1047, 469], [1041, 600], [1046, 487], [1046, 657], [1049, 459]], [[1014, 670], [1051, 488], [1046, 603], [1049, 430], [1048, 607], [1056, 479], [1041, 630], [1049, 462], [1054, 638], [1054, 452], [1060, 601], [1060, 498]]]"
7,3,"[""a1"", ""b1"", ""b2"", ""a2"", ""a3"", ""b3"", ""c3"", ""c2"", ""c1"", ""b1"", ""a1"", ""a2""]","[[1584133354917, 1584133355396, 1584133355542, 1584133355723, 1584133355952, 1584133356160, 1584133356362, 1584133356556, 1584133356750, 1584133356966, 1584133357236, 1584133357660], [1584133369243, 1584133369486, 1584133369729, 1584133369916, 1584133370215, 1584133370347, 1584133370500, 1584133370673, 1584133370771, 1584133371076, 1584133371222, 1584133371437], [1584133373729, 1584133373986, 1584133374145, 1584133374368, 1584133374625, 1584133374847, 1584133375048, 1584133375263, 1584133375416, 1584133375604, 1584133375888, 1584133376298], [1584133388749, 1584133389027, 1584133389325, 1584133389513, 1584133389791, 1584133389978, 1584133390152, 1584133390374, 1584133390471, 1584133390665, 1584133390763, 1584133391071], [1584133393360, 1584133393610, 1584133393839, 1584133394033, 1584133394297, 1584133394506, 1584133394645, 1584133394853, 1584133394957, 1584133395158, 1584133395277, 1584133395881]]","[[[734, 450], [737, 632], [897, 710], [915, 539], [1071, 470], [1129, 627], [1135, 812], [982, 851], [800, 847], [739, 724], [724, 538], [882, 487]], [[720, 453], [736, 628], [884, 672], [911, 539], [1067, 511], [1093, 632], [1108, 808], [961, 899], [793, 882], [739, 721], [765, 542], [892, 476]], [[754, 445], [750, 627], [887, 672], [945, 540], [1066, 489], [1089, 638], [1112, 808], [980, 870], [798, 867], [756, 723], [754, 545], [892, 468]], [[768, 447], [756, 629], [885, 670], [900, 530], [1064, 493], [1123, 632], [1130, 814], [970, 884], [797, 869], [761, 719], [763, 537], [883, 482]], [[722, 454], [749, 628], [885, 683], [919, 541], [1070, 475], [1099, 630], [1149, 822], [975, 883], [794, 872], [738, 721], [733, 540], [893, 462]]]"
8,3,"[""c1"", ""c2"", ""c3"", ""b3"", ""a3"", ""a2"", ""a1"", ""b1"", ""c1"", ""c2"", ""c3"", ""b3""]","[[1584133424790, 1584133425440, 1584133425823, 1584133426240, 1584133426640, 1584133427090, 1584133427523, 1584133428206, 1584133429323, 1584133430356, 1584133430890, 1584133431423], [1584133442089, 1584133442389, 1584133442622, 1584133442839, 1584133443005, 1584133443305, 1584133443472, 1584133443822, 1584133444222, 1584133444672, 1584133445005, 1584133445339], [1584133452855, 1584133453322, 1584133453538, 1584133453822, 1584133454021, 1584133454422, 1584133454622, 1584133455055, 1584133455305, 1584133455588, 1584133455838, 1584133456172], [1584133459321, 1584133459621, 1584133459788, 1584133460871, 1584133461105, 1584133461455, 1584133461705, 1584133462021, 1584133462354, 1584133462671, 1584133462938, 1584133463221], [1584133464754, 1584133465071, 1584133465221, 1584133465438, 1584133465555, 1584133465888, 1584133465954, 1584133466321, 1584133466621, 1584133466904, 1584133467138, 1584133467421], [1584133470271, 1584133470738, 1584133470954, 1584133471287, 1584133471587, 1584133471921, 1584133472054, 1584133472437, 1584133472721, 1584133472971, 1584133473104, 1584133473354], [1584133475971, 1584133476404, 1584133476471, 1584133476854, 1584133477154, 1584133477654, 1584133477820, 1584133478171, 1584133478454, 1584133478654, 1584133478820, 1584133479187], [1584133481604, 1584133482054, 1584133482254, 1584133482704, 1584133483187, 1584133483703, 1584133484120, 1584133484437, 1584133484787, 1584133485137, 1584133485353, 1584133486053], [1584133488953, 1584133489353, 1584133489520, 1584133489853, 1584133490137, 1584133490570, 1584133490870, 1584133491387, 1584133491786, 1584133492186, 1584133492586, 1584133493069]]","[[[813, 882], [906, 874], [1092, 886], [1142, 687], [1142, 529], [980, 492], [817, 489], [759, 627], [795, 821], [908, 857], [1101, 875], [1111, 716]], [[767, 901], [905, 881], [1104, 879], [1159, 712], [1149, 529], [977, 477], [818, 491], [733, 646], [743, 816], [902, 857], [1096, 869], [1156, 721]], [[784, 892], [907, 882], [1093, 859], [1183, 686], [1159, 538], [987, 470], [815, 470], [756, 646], [761, 816], [940, 841], [1095, 845], [1147, 712]], [[774, 902], [936, 878], [1083, 869], [1169, 639], [1111, 535], [985, 487], [803, 492], [745, 649], [750, 812], [919, 846], [1088, 856], [1137, 725]], [[814, 860], [917, 868], [1093, 860], [1171, 678], [1149, 541], [996, 483], [808, 483], [726, 654], [752, 810], [909, 868], [1088, 867], [1138, 718]], [[787, 897], [906, 868], [1088, 851], [1138, 726], [1141, 542], [978, 466], [807, 466], [757, 639], [764, 809], [906, 852], [1089, 852], [1124, 723]], [[805, 890], [935, 878], [1093, 877], [1164, 706], [1163, 530], [989, 493], [813, 493], [756, 635], [771, 817], [903, 856], [1089, 861], [1157, 707]], [[796, 902], [923, 877], [1104, 880], [1170, 708], [1180, 507], [977, 457], [802, 460], [755, 638], [744, 816], [916, 860], [1086, 860], [1169, 646]], [[767, 901], [923, 873], [1089, 875], [1141, 717], [1142, 541], [995, 511], [813, 511], [736, 641], [747, 818], [905, 848], [1101, 852], [1138, 722]]]"
9,3,"[""a3"", ""b3"", ""c3"", ""c2"", ""c3"", ""b3"", ""a3"", ""a2"", ""a3"", ""b3"", ""c3"", ""c2""]","[[1584133505013, 1584133505264, 1584133505565, 1584133505906, 1584133506326, 1584133506636, 1584133506960, 1584133507286, 1584133507612, 1584133507936, 1584133508250, 1584133508647], [1584133511359, 1584133511639, 1584133511957, 1584133512240, 1584133512946, 1584133513241, 1584133513560, 1584133513857, 1584133514752, 1584133515044, 1584133515357, 1584133515759], [1584133517513, 1584133517787, 1584133518070, 1584133518357, 1584133518633, 1584133518946, 1584133519249, 1584133519554, 1584133520008, 1584133520334, 1584133520638, 1584133520936], [1584133522464, 1584133522735, 1584133523404, 1584133523735, 1584133524077, 1584133524395, 1584133524723, 1584133525051, 1584133525490, 1584133525812, 1584133526170, 1584133526590], [1584133528762, 1584133529015, 1584133529334, 1584133529667, 1584133530006, 1584133530309, 1584133530613, 1584133530910, 1584133531241, 1584133531561, 1584133531902, 1584133532188]]","[[[1113, 495], [1113, 660], [1123, 863], [956, 853], [1120, 870], [1124, 649], [1132, 509], [979, 501], [1105, 485], [1122, 674], [1112, 837], [967, 848]], [[1100, 500], [1103, 676], [1090, 831], [951, 853], [1098, 843], [1106, 681], [1087, 484], [967, 490], [1109, 504], [1116, 679], [1103, 868], [957, 860]], [[1089, 501], [1112, 711], [1108, 867], [938, 866], [1083, 864], [1110, 684], [1097, 503], [962, 499], [1088, 495], [1106, 662], [1109, 835], [933, 852]], [[1115, 479], [1113, 696], [1121, 828], [958, 841], [1078, 853], [1101, 668], [1107, 515], [947, 491], [1090, 491], [1094, 694], [1110, 864], [948, 876]], [[1094, 509], [1113, 677], [1131, 851], [957, 855], [1073, 864], [1101, 675], [1105, 511], [944, 489], [1089, 492], [1097, 654], [1101, 852], [939, 856]]]"
10,3,"[""c1"", ""c2"", ""c3"", ""b3"", ""a3"", ""a2"", ""a1"", ""b1"", ""c1"", ""c2"", ""c3"", ""b3""]","[[1584133521002, 1584133521474, 1584133521801, 1584133522201, 1584133522601, 1584133523009, 1584133523553, 1584133523865, 1584133524266, 1584133524674, 1584133525026, 1584133525457], [1584133527009, 1584133527786, 1584133528226, 1584133528530, 1584133529009, 1584133529361, 1584133530042, 1584133530433, 1584133530818, 1584133531234, 1584133531633, 1584133531978], [1584133533314, 1584133533737, 1584133534538, 1584133534970, 1584133535306, 1584133535665, 1584133536178, 1584133536505, 1584133536866, 1584133537233, 1584133537602, 1584133537945], [1584133539065, 1584133539530, 1584133540242, 1584133540514, 1584133540873, 1584133541218, 1584133541570, 1584133541937, 1584133542330, 1584133542898, 1584133543202, 1584133543522], [1584133544609, 1584133544953, 1584133545441, 1584133545737, 1584133546106, 1584133546473, 1584133546970, 1584133547290, 1584133547673, 1584133548026, 1584133548417, 1584133548801], [1584133550146, 1584133550434, 1584133550721, 1584133551066, 1584133551401, 1584133551809, 1584133552186, 1584133552953, 1584133553234, 1584133554306, 1584133554665, 1584133555073]]","[[[791, 887], [978, 879], [1109, 865], [1152, 664], [1117, 514], [994, 500], [751, 493], [782, 627], [785, 832], [977, 852], [1160, 845], [1148, 670]], [[773, 853], [989, 865], [1162, 845], [1142, 670], [1133, 483], [954, 486], [759, 537], [763, 682], [748, 838], [963, 846], [1128, 851], [1156, 679]], [[802, 869], [967, 857], [1134, 841], [1157, 691], [1107, 513], [964, 505], [771, 512], [766, 671], [800, 837], [958, 846], [1155, 865], [1150, 720]], [[798, 865], [986, 866], [1123, 830], [1129, 682], [1123, 515], [961, 517], [765, 521], [778, 628], [761, 828], [986, 852], [1111, 861], [1118, 690]], [[750, 873], [911, 862], [1150, 853], [1140, 655], [1122, 505], [971, 504], [737, 503], [764, 679], [784, 862], [963, 861], [1152, 863], [1128, 710]], [[801, 862], [934, 872], [1182, 863], [1147, 690], [1131, 511], [961, 508], [731, 483], [777, 683], [796, 849], [972, 857], [1113, 864], [1136, 688]]]"
